id	log2FoldChange	padj	significant	label
E00394	-1.68601	1.00246689050843e-16	Baodian_UP	-
E00395	0.149117	0.0151517410508391	Unchanged	-
E00396	-0.0484072	0.442274092250295	Unchanged	-
E00397	0.509986	1.86150313607481e-23	Unchanged	-
E00398	-0.0403966	0.753945956100022	Unchanged	-
E00407	-0.707518	1.15604582117841e-08	Unchanged	-
E00408	0.522242	1.10377078708166e-14	Unchanged	-
E00410	0.16567	1	Unchanged	-
E00411	-0.457401	7.46782560618413e-19	Unchanged	-
E00412	0.933737	6.12175636836194e-80	Unchanged	-
E00413	-1.65089	0.00317594876757722	Baodian_UP	-
E00414	-0.103952	0.570797919092562	Unchanged	-
E00415	-0.345731	4.40065655301627e-07	Unchanged	-
E00417	0.0273027	0.448993185933619	Unchanged	-
E00418	0.764022	1.63298569722922e-16	Unchanged	-
E00420	0.1985	0.00304809329484907	Unchanged	-
E00421	-1.00158	7.03268685302272e-73	Baodian_UP	-
E00422	-0.145737	0.325409268967593	Unchanged	-
E00428	-0.371177	1	Unchanged	-
E00431	-0.286458	4.94176947004811e-08	Unchanged	-
E00432	1.00021	1.51001648681826e-20	EHBIO_UP	-
E00433	1.52069	6.15113768949871e-36	EHBIO_UP	-
E00435	-0.535833	3.87654826188403e-11	Unchanged	-
E00436	-1.32386	2.46497669643302e-08	Baodian_UP	-
E00437	0.134117	0.00541773477846528	Unchanged	-
E00438	0.423379	2.19402547362362e-07	Unchanged	-
E00439	-1.55353	5.60145113460187e-15	Baodian_UP	-
E00440	-0.298682	1.59663485363106e-05	Unchanged	-
E00441	0.395181	0.0363438211203345	Unchanged	-
E00442	-3.25342	5.20005758551386e-266	Baodian_UP	-
E00443	-0.123649	1	Unchanged	-
E00451	-2.36457	6.23946008420472e-19	Baodian_UP	-
E00454	1.11994	0.041864926408388	EHBIO_UP	-
E00455	-0.42255	0.951800678448872	Unchanged	-
E00456	0.489296	0.000137110095543962	Unchanged	-
E00457	-1.23683	2.1154029966677e-47	Baodian_UP	-
E00459	0.119173	0.396591642337348	Unchanged	-
E00461	-0.472296	0.686976034157197	Unchanged	-
E00463	-1.89978	8.63035098430619e-20	Baodian_UP	-
E00464	0.146511	0.0312685365852267	Unchanged	-
E00465	-0.0320031	0.50684393322582	Unchanged	-
E00466	0.184694	0.0474301580487377	Unchanged	-
E00467	-0.146491	0.0474950992321599	Unchanged	-
E00470	-0.317542	1.72831364095839e-14	Unchanged	-
E00471	-0.328768	0.151428385948103	Unchanged	-
E00473	0.164873	0.00224926075568554	Unchanged	-
E00474	-0.647345	1.36798805785495e-22	Unchanged	-
E00476	-0.0441777	0.594129868045776	Unchanged	-
E00477	0.435559	3.7071737037329e-09	Unchanged	-
E00479	0.709986	8.31956033816212e-17	Unchanged	-
E00480	-0.258901	0.000512256813420502	Unchanged	-
E00481	-0.134671	0.073698979728993	Unchanged	-
E00483	0.866183	2.06249126531765e-82	Unchanged	-
E00485	0.427616	2.75870563703948e-12	Unchanged	-
E00486	-0.109099	0.954051715787699	Unchanged	-
